LGA_code,LGA_name,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
18200,Wentworth (A),11.43,30.43,19.35,11.43,13.16,22.5,21.62,18.92,20.83
18250,Willoughby (C),15.52,10.67,13.92,13.86,13.59,14.86,13.25,14.71,16.15
18350,Wingecarribee (A),16.94,20.23,20.13,18.32,15.52,16.46,19.14,20.05,22.95
18400,Wollondilly (A),16.07,23.88,14.44,19.34,17.82,13.5,22.39,16.88,20.61
18450,Wollongong (C),14.89,14.35,16.32,13.09,14.38,15.97,14.35,15.46,16.44
18500,Woollahra (A),15.9,15.8,14.65,15.33,15.18,18.08,17.46,18.73,17.84
18550,Wyong (A),20.39,19.13,20.86,20.85,22.69,22.1,21.03,20.81,21.77
18710,Yass Valley (A),15.46,18.18,20.65,18.81,14.58,18.8,20.59,18.52,17.39
18750,Young (A),16.28,15.52,25,9.84,16.13,26.79,16.3,13.41,21.35
19399,Unincorporated NSW,-,-,-,-,-,-,-,37.5,-
20110,Alpine (S),16.33,14.71,21.82,24.66,10.29,13.16,16.18,19.59,19.15
20260,Ararat (RC),16.13,15.52,26.47,16.67,7.14,14.71,7.14,11.76,14.29
20570,Ballarat (C),20.74,21.5,21.62,20.59,19.64,18.12,19.71,21.98,22.5
20660,Banyule (C),15.91,16.48,15.76,15.68,15.79,17.18,15.39,17.31,19.53
20740,Bass Coast (S),20.65,22.11,15.24,12.4,18.7,19.51,17.79,16.85,23.2
20830,Baw Baw (S),12.2,13.08,14.89,13.73,13.5,19.06,15.99,16.91,20.44
20910,Bayside (C),16.92,13.06,14.61,14.97,16.07,16.34,14.53,16.65,16.74
21010,Benalla (RC),15,14.77,16.25,16.92,8.57,14.95,9.2,14.77,17.17
21110,Boroondara (C),13.03,13.39,14.7,13.95,13.69,13.81,14.29,13.1,16.27
21180,Brimbank (C),14.45,16.33,16.41,15.71,16.36,17.37,16.48,16.06,16.66
21270,Buloke (S),12.9,3.7,14.04,20,8.06,15.94,10.77,16.13,11.48
21370,Campaspe (S),16.77,20.47,12.32,15.5,10.26,18.33,17.73,15.07,21.03
21450,Cardinia (S),19.77,18.6,18.87,17.72,16.04,19.85,20.17,19.41,20.77
21610,Casey (C),17.84,17.45,17.29,15.69,15.2,19.72,17.66,18.29,19.19
21670,Central Goldfields (S),11.84,20.31,20,24,9.86,14.49,11.11,15.28,13.51
21750,Colac-Otway (S),16.54,15.63,16.82,12.38,14.97,17.48,15.86,21.43,11.97
21830,Corangamite (S),9.09,13.16,19.3,10.19,9.52,19.81,17.07,22.66,16.95
21890,Darebin (C),18.96,18.02,18.42,17.01,17.69,19,16.49,19.36,18.16
22110,East Gippsland (S),12.26,14.21,15.08,17.74,17.62,18.3,22.39,17.12,21.52
22170,Frankston (C),20.85,17.43,19.01,18.79,18.28,16.59,19.4,18.25,25.74
22250,Gannawarra (S),7.04,9.3,16.36,16.67,10,11.94,14.93,16.92,16.67
22310,Glen Eira (C),16.21,16.75,14.62,14.31,16.07,15.98,15.73,15.99,16
22410,Glenelg (S),16.67,13.19,14.61,11.61,13.59,11.34,20.19,13.45,10.08
22490,Golden Plains (S),16.67,13.08,12.63,28,18.18,11.3,20.31,17.69,25.73
22620,Greater Bendigo (C),18.01,15.98,16.81,18.3,18.13,15.97,19.71,16.7,19.96
22670,Greater Dandenong (C),15.75,16.8,16.43,15.48,15.72,18.46,15.31,16.64,17.16
22750,Greater Geelong (C),18.01,16.43,16.99,14.74,15.73,17.36,15.43,17.18,18.39
22830,Greater Shepparton (C),16.27,16.38,17.8,13.76,14.45,15.46,15.22,15.49,13.88
22910,Hepburn (S),18.48,13.25,18.95,21.59,17.86,18.87,24.35,22.92,20.56
22980,Hindmarsh (S),9.68,6.9,13.16,2.86,14.29,15.15,17.07,9.09,23.81
23110,Hobsons Bay (C),19.82,19.69,18.93,17.94,18.24,19.77,17.7,18.93,19.31
23190,Horsham (RC),20.72,17.05,23.08,19.13,12.71,10.37,14.89,21.99,12.31
23270,Hume (C),18.12,18.39,18.9,18.61,17.38,18.02,17.98,18.95,19.57
23350,Indigo (S),17.5,18.68,11.83,13.89,16.5,12.9,16,21.7,26.77
23430,Kingston (C),16.56,18.44,15.75,15.66,14.21,15.68,17.78,18.87,17.72
23670,Knox (C),16.84,14.8,15.52,14.73,15.06,17.69,14.89,17,16.84
23810,Latrobe (C),18.13,16.75,13.66,16.67,12.91,12.95,18.58,16.22,16.36
23940,Loddon (S),7.32,4.76,22.73,18.92,9.3,17.78,7.69,19.51,17.39
24130,Macedon Ranges (S),18.75,16.77,18.88,23.3,17.25,18.15,17.59,16.85,18.57
24210,Manningham (C),13.93,12.53,13.86,14.36,13.71,14.39,15.57,12.9,15.4
24250,Mansfield (S),10.53,12.82,20,15,20.51,23.26,20.93,10.26,14.29
24330,Maribyrnong (C),17.03,16.38,17,17.86,19.74,20.66,19.79,20.74,22.3
24410,Maroondah (C),19.45,16.97,15.92,16.36,15.58,18.78,15.65,16.97,19.49
24600,Melbourne (C),18.26,14.29,14.65,19.24,16.05,17.23,17.63,18.17,19.82
24650,Melton (C),16.37,19.37,17.99,16.94,18.69,19.04,16.7,20.92,21.01
24780,Mildura (RC),15.85,19.7,19.66,18.59,11.68,17.79,20.34,20.06,21.07
24850,Mitchell (S),20.69,16.18,21.64,22.35,15.03,18.14,25.31,21.84,19.22
24900,Moira (S),20.71,15.25,12.14,16.57,20.81,18.59,16.46,19.64,19.79
24970,Monash (C),12.54,13.59,12.14,12.01,13.09,13.48,15.77,14.44,14.48
25060,Moonee Valley (C),17,15.88,15.77,14.99,16.96,17.93,16.78,17.02,19.04
25150,Moorabool (S),20.14,21.6,16.55,23.65,19.88,20.74,19.5,21.11,25.24
25250,Moreland (C),16.19,18.09,17,16.11,18.1,17.08,17.23,20.05,20.93
25340,Mornington Peninsula (S),19.17,17.9,16.73,17.38,16.86,19.23,19.76,18.95,22.68
25430,Mount Alexander (S),16.16,22.22,17.86,21.82,16.95,17.78,15.22,12.03,19.69
25490,Moyne (S),18.27,10.48,17.61,17.42,14.74,20.14,18.62,14.88,12.5
25620,Murrindindi (S),9.09,14.06,27.42,19.64,26.32,18.64,26.09,18.03,14.67
25710,Nillumbik (S),19.24,15.16,15.54,14.55,14.65,19.88,13.91,17.41,19.38
25810,Northern Grampians (S),17.39,23.21,9.68,9.52,20,20.25,14.75,18.64,12.86
25900,Port Phillip (C),19.12,18.41,19.74,19.45,17.58,18.14,19.16,20.89,20.98
25990,Pyrenees (S),7.14,33.33,11.11,6.67,5.26,16.67,0,23.53,16.67
26080,Queenscliffe (B),19.05,21.21,15.91,15.15,14.71,13.89,10.87,7.32,22.22
26170,South Gippsland (S),11.43,12.14,9.09,11.92,12.75,20.13,18.36,14.59,20.21
26260,Southern Grampians (S),17.27,13.28,17.14,13.22,8.33,9.65,13.13,14.63,16.55
26350,Stonnington (C),14.95,19.29,13.68,16.05,15.42,15.64,16.39,16.52,17.85
26430,Strathbogie (S),5.56,15.38,14.55,12.5,8.33,17.39,14.29,14.71,26.23
26490,Surf Coast (S),20.68,14.56,15.56,21.85,17.05,16.26,22.19,16.19,19.17
26610,Swan Hill (RC),17.42,9.48,14.04,22.12,17.89,13.08,18.42,11.28,13.53
